Year;Month;Demand
1980;jan;9003
1980;fev;8891
1980;mar;8956
1980;abr;9066
1980;mai;9251
1980;jun;9298
1980;jul;9234
1980;ago;9679
1980;set;9614
1980;out;9608
1980;nov;9954
1980;dez;9501
1981;jan;10102
1981;fev;9468
1981;mar;9804
1981;abr;9405
1981;mai;9656
1981;jun;9360
1981;jul;9470
1981;ago;9752
1981;set;9486
1981;out;9589
1981;nov;9781
1981;dez;9529
1982;jan;9885
1982;fev;9393
1982;mar;9712
1982;abr;10447
1982;mai;9999
1982;jun;10193
1982;jul;10325
1982;ago;10541
1982;set;10698
1982;out;10515
1982;nov;10644
1982;dez;10453
1983;jan;10630
1983;fev;10253
1983;mar;10360
1983;abr;11266
1983;mai;10788
1983;jun;11411
1983;jul;10945
1983;ago;11077
1983;set;11608
1983;out;11402
1983;nov;11366
1983;dez;11332
1984;jan;11642
1984;fev;11968
1984;mar;12207
1984;abr;11626
1984;mai;12031
1984;jun;12277
1984;jul;12210
1984;ago;12698
1984;set;12953
1984;out;12520
1984;nov;13420
1984;dez;12845
1985;jan;13204
1985;fev;13114
1985;mar;13079
1985;abr;13651
1985;mai;13224
1985;jun;13528
1985;jul;12965
1985;ago;13969
1985;set;13918
1985;out;14002
1985;nov;14320
1985;dez;14041
1986;jan;14120
1986;fev;13709
1986;mar;13152
1986;abr;13894
1986;mai;14756
1986;jun;14514
1986;jul;14502
1986;ago;15227
1986;set;15028
1986;out;15124
1986;nov;15559
1986;dez;14685
1987;jan;15698
1987;fev;14422
1987;mar;14885
1987;abr;14412
1987;mai;14940
1987;jun;14357
1987;jul;14618
1987;ago;15267
1987;set;15093
1987;out;15220
1987;nov;15568
1987;dez;15092
1988;jan;15798
1988;fev;15379
1988;mar;15466
1988;abr;16087
1988;mai;15117
1988;jun;15482
1988;jul;15649
1988;ago;15529
1988;set;16418
1988;out;16286
1988;nov;15592
1988;dez;15794
1989;jan;15882
1989;fev;16006
1989;mar;15232
1989;abr;16510
1989;mai;15872
1989;jun;16383
1989;jul;16669
1989;ago;16566
1989;set;17513
1989;out;16810
1989;nov;17208
1989;dez;16534
1990;jan;16919
1990;fev;16907
1990;mar;16513
1990;abr;16626
1990;mai;15357
1990;jun;16266
1990;jul;16025
1990;ago;16800
1990;set;17602
1990;out;16974
1990;nov;17837
1990;dez;16813
1991;jan;16795
1991;fev;16892
1991;mar;16010
1991;abr;16876
1991;mai;17439
1991;jun;17744
1991;jul;17276
1991;ago;18179
1991;set;18214
1991;out;17986
1991;nov;18373
1991;dez;17624
1992;jan;17750
1992;fev;17706
1992;mar;17710
1992;abr;17306
1992;mai;17810
1992;jun;17424
1992;jul;17665
1992;ago;18107
1992;set;17827
1992;out;17821
1992;nov;18111
1992;dez;17520
1993;jan;18070
1993;fev;17416
1993;mar;17781
1993;abr;19100
1993;mai;18312
1993;jun;18316
1993;jul;18259
1993;ago;18673
1993;set;18881
1993;out;18630
1993;nov;18879
1993;dez;18331
1994;jan;18513
1994;fev;18164
1994;mar;18130
1994;abr;19073
1994;mai;18179
1994;jun;18851
1994;jul;18177
1994;ago;18558
1994;set;19666
1994;out;19597
1994;nov;19519
1994;dez;19498
1995;jan;20175
1995;fev;19829
1995;mar;20085
1995;abr;20548
1995;mai;19866
1995;jun;19954
1995;jul;20041
1995;ago;20062
1995;set;21108
1995;out;20415
1995;nov;21199
1995;dez;20554
1996;jan;20662
1996;fev;21093
1996;mar;21027
1996;abr;21546
1996;mai;21206
1996;jun;21345
1996;jul;20882
1996;ago;22006
1996;set;21953
1996;out;21946
1996;nov;22087
1996;dez;21858
1997;jan;22566
1997;fev;22332
1997;mar;21818
1997;abr;22306
1997;mai;22698
1997;jun;22255
1997;jul;22442
1997;ago;23110
1997;set;23161
1997;out;23614
1997;nov;23954
1997;dez;23025
1998;jan;23920
1998;fev;23065
1998;mar;23083
1998;abr;24178
1998;mai;23830
1998;jun;22952
1998;jul;23265
1998;ago;24082
1998;set;24266
1998;out;24181
1998;nov;24058
1998;dez;23645
1999;jan;23901
1999;fev;23370
1999;mar;23815
1999;abr;25247
1999;mai;23882
1999;jun;24065
1999;jul;24028
1999;ago;24490
1999;set;24886
1999;out;24705
1999;nov;24958
1999;dez;24843
2000;jan;25060
2000;fev;25057
2000;mar;25662
2000;abr;25598
2000;mai;25448
2000;jun;25445
2000;jul;25287
2000;ago;25470
2000;set;25777
2000;out;26313
2000;nov;26579
2000;dez;25834
2001;jan;25878
2001;fev;26410
2001;mar;26487
2001;abr;27097
2001;mai;26311
2001;jun;23723
2001;jul;20447
2001;ago;20809
2001;set;21338
2001;out;21305
2001;nov;21824
2001;dez;21630
2002;jan;22324
2002;fev;22695
2002;mar;23251
2002;abr;24719
2002;mai;24728
2002;jun;24234
2002;jul;23695
2002;ago;24442
2002;set;24438
2002;out;24924
2002;nov;25468
2002;dez;24949
2003;jan;25152
2003;fev;24965
2003;mar;25281
2003;abr;24787
2003;mai;24889
2003;jun;24535
2003;jul;24443
2003;ago;24629
2003;set;24621
2003;out;25715
2003;nov;25786
2003;dez;26189
2004;jan;25393
2004;fev;24906
2004;mar;25499
2004;abr;26085
2004;mai;26373
2004;jun;26189
2004;jul;26389
2004;ago;26674
2004;set;27305
2004;out;27626
2004;nov;27399
2004;dez;27590
2005;jan;27803
2005;fev;27117
2005;mar;27827
2005;abr;28511
2005;mai;27766
2005;jun;27788
2005;jul;27564
2005;ago;27784
2005;set;28216
2005;out;28280
2005;nov;28662
2005;dez;28599
2006;jan;28560
2006;fev;29072
2006;mar;29637
2006;abr;29588
2006;mai;29375
2006;jun;28651
2006;jul;28406
2006;ago;29400
2006;set;29421
2006;out;29660
2006;nov;30645
2006;dez;30604
2007;jan;30670
2007;fev;30415
2007;mar;28708
2007;abr;32101
2007;mai;31567
2007;jun;30862
2007;jul;29512
2007;ago;30438
2007;set;30951
2007;out;31312
2007;nov;32765
2007;dez;32323
2008;jan;32325
2008;fev;32121
2008;mar;32161
2008;abr;32224
2008;mai;32501
2008;jun;31945
2008;jul;32508
2008;ago;33326
2008;set;33362
2008;out;34022
2008;nov;33766
2008;dez;31831
2009;jan;30827
2009;fev;30701
