Sex;Zygosity;Moed;Faed;Famin;Eng;Math;Soc;Nat;Vocab;Pairs
2;1;3;4;2;14;13;17;18;14;1
2;1;3;4;2;11;14;15;10;12;1
2;1;1;1;1;20;20;16;16;13;4
2;1;1;1;1;17;19;13;13;14;4
2;1;1;1;1;11;8;15;16;12;5
2;1;1;1;1;16;13;13;8;15;5
1;2;3;2;4;9;19;7;10;6;7
1;2;3;2;4;8;16;15;17;11;7
1;2;5;4;3;15;23;23;21;21;10
1;2;5;4;3;15;13;13;20;19;10
2;2;4;2;3;20;17;16;12;12;11
2;2;4;2;3;19;18;13;18;15;11
1;1;4;6;3;26;20;27;23;28;12
1;1;4;6;3;25;20;29;24;30;12
1;1;4;6;5;28;31;31;29;30;16
1;1;4;6;5;27;28;28;27;30;16
2;2;5;4;1;24;25;17;21;22;17
2;2;5;4;1;27;25;22;24;23;17
1;1;3;2;2;19;19;17;22;16;19
1;1;3;2;2;19;22;13;14;17;19
1;1;2;1;2;7;18;15;14;5;20
1;1;2;1;2;16;15;17;15;7;20
2;1;3;5;4;22;23;23;24;23;26
2;1;3;5;4;21;24;24;24;26;26
2;2;4;1;3;8;7;13;3;10;27
2;2;4;1;3;16;15;13;14;15;27
2;1;4;3;2;25;17;21;18;23;28
2;1;4;3;2;22;13;19;15;19;28
1;1;4;4;4;21;14;25;23;25;29
1;1;4;4;4;18;17;17;20;20;29
2;2;5;3;2;22;21;16;21;27;30
2;2;5;3;2;24;20;25;18;26;30
2;2;6;6;2;23;26;25;20;23;33
2;2;6;6;2;18;13;24;18;22;33
2;1;2;4;2;18;19;21;20;21;35
2;1;2;4;2;23;20;16;18;24;35
1;1;3;5;5;19;25;25;28;26;36
1;1;3;5;5;23;29;24;23;27;36
2;1;2;1;1;13;14;14;11;13;37
2;1;2;1;1;14;12;13;13;16;37
1;1;6;5;4;10;17;12;20;9;38
1;1;6;5;4;15;16;21;14;10;38
1;1;4;4;1;23;11;21;21;21;42
1;1;4;4;1;24;23;24;21;21;42
2;1;4;4;4;17;5;14;15;18;46
2;1;4;4;4;20;13;13;13;18;46
1;2;4;6;5;20;27;23;23;18;48
1;2;4;6;5;24;28;28;31;28;48
2;1;3;4;2;24;30;25;27;28;49
2;1;3;4;2;27;30;25;28;29;49
2;1;2;1;3;21;7;19;14;16;50
2;1;2;1;3;22;14;16;18;15;50
1;1;4;3;3;27;25;26;25;25;55
1;1;4;3;3;22;30;25;27;26;55
2;1;4;3;5;17;11;20;19;18;57
2;1;4;3;5;20;18;20;19;18;57
2;1;3;3;3;14;13;17;9;18;59
2;1;3;3;3;14;14;19;13;18;59
2;2;3;4;3;23;22;28;26;27;61
2;2;3;4;3;27;26;26;27;28;61
2;1;4;2;1;20;20;21;22;24;63
2;1;4;2;1;24;25;21;23;30;63
1;1;4;5;6;16;23;20;23;23;64
1;1;4;5;6;21;27;25;26;25;64
1;1;4;2;2;17;22;28;25;24;65
1;1;4;2;2;17;23;26;25;22;65
1;1;3;3;4;19;23;26;27;26;67
1;1;3;3;4;17;33;25;25;27;67
1;1;3;3;1;25;23;22;26;24;68
1;1;3;3;1;26;30;29;21;24;68
1;1;2;2;1;23;20;22;18;23;71
1;1;2;2;1;25;25;27;25;23;71
2;1;4;4;5;19;29;25;24;28;72
2;1;4;4;5;27;24;26;24;25;72
1;1;5;3;2;19;29;25;24;23;74
1;1;5;3;2;14;25;15;22;18;74
2;1;5;6;4;27;31;22;26;20;78
2;1;5;6;4;25;25;26;28;23;78
1;2;3;4;4;23;32;17;26;22;79
1;2;3;4;4;18;11;15;14;18;79
1;1;4;6;4;17;20;22;22;23;80
1;1;4;6;4;14;21;17;15;21;80
2;1;3;4;4;25;18;23;17;22;82
2;1;3;4;4;27;23;28;26;29;82
2;1;4;5;4;24;26;21;22;22;83
2;1;4;5;4;26;25;26;24;24;83
2;2;3;2;6;19;11;17;15;13;84
2;2;3;2;6;19;24;17;18;18;84
1;1;4;6;5;24;24;28;26;27;85
1;1;4;6;5;21;27;29;29;26;85
2;1;3;4;7;25;19;26;15;25;88
2;1;3;4;7;25;20;25;25;27;88
2;2;3;2;4;12;17;15;11;19;89
2;2;3;2;4;19;17;18;17;19;89
2;1;3;3;1;11;14;13;8;10;90
2;1;3;3;1;13;20;16;13;14;90
1;1;4;6;5;25;25;20;17;21;91
1;1;4;6;5;22;28;21;20;18;91
1;2;3;4;4;20;24;27;18;23;92
1;2;3;4;4;18;17;12;17;24;92
2;1;4;5;4;23;20;23;21;25;96
2;1;4;5;4;23;21;26;23;25;96
2;1;4;3;2;17;20;18;14;18;97
2;1;4;3;2;19;18;19;21;19;97
1;2;4;4;3;19;22;26;16;20;100
1;2;4;4;3;24;26;19;16;21;100
2;2;3;5;6;28;22;25;26;20;102
2;2;3;5;6;24;27;22;27;22;102
2;1;5;5;4;14;11;25;23;30;103
2;1;5;5;4;20;11;26;18;32;103
2;1;4;3;7;18;26;21;23;19;104
2;1;4;3;7;17;23;21;26;20;104
1;2;6;4;4;24;30;25;29;26;105
1;2;6;4;4;25;32;29;29;31;105
1;1;4;4;4;22;22;24;24;22;106
1;1;4;4;4;22;26;23;23;22;106
2;1;4;4;5;25;20;24;21;20;107
2;1;4;4;5;25;26;29;25;23;107
1;2;4;5;4;23;27;18;16;21;108
1;2;4;5;4;18;21;12;10;14;108
1;2;6;5;7;27;34;30;29;32;109
1;2;6;5;7;28;34;31;30;31;109
2;1;3;5;1;25;24;29;19;29;110
2;1;3;5;1;26;24;27;28;29;110
2;1;4;4;4;23;28;25;23;21;111
2;1;4;4;4;26;26;24;22;24;111
1;1;2;1;2;14;26;21;20;21;112
1;1;2;1;2;13;20;21;12;19;112
2;2;5;6;3;19;28;18;21;21;113
2;2;5;6;3;26;29;25;24;24;113
1;1;2;1;1;14;21;15;17;13;114
1;1;2;1;1;18;20;18;16;16;114
1;1;4;5;3;22;21;25;22;22;115
1;1;4;5;3;21;23;22;20;28;115
1;1;1;1;1;15;14;14;16;14;116
1;1;1;1;1;15;14;18;17;15;116
2;1;3;3;5;20;20;21;19;21;117
2;1;3;3;5;21;25;20;23;23;117
2;1;5;4;3;20;19;24;18;21;118
2;1;5;4;3;19;11;17;21;20;118
2;2;2;1;2;17;11;11;16;13;123
2;2;2;1;2;14;17;15;20;18;123
2;1;4;4;3;17;13;15;18;17;133
2;1;4;4;3;16;12;17;18;17;133
1;1;3;4;4;11;6;17;8;16;134
1;1;3;4;4;15;12;17;21;17;134
2;2;5;5;5;12;12;13;18;18;139
2;2;5;5;5;18;13;18;18;20;139
2;2;5;4;4;21;20;18;24;16;140
2;2;5;4;4;20;21;14;16;17;140
1;1;4;5;2;16;25;21;21;18;142
1;1;4;5;2;15;18;16;21;17;142
2;1;3;3;3;24;19;24;23;23;145
2;1;3;3;3;23;19;26;23;27;145
1;2;4;3;4;16;19;20;9;22;148
1;2;4;3;4;14;21;18;19;18;148
2;2;5;5;5;26;33;25;29;25;149
2;2;5;5;5;27;34;29;31;25;149
2;1;3;3;4;20;20;19;21;21;151
2;1;3;3;4;24;20;21;21;21;151
1;1;3;4;4;20;18;25;15;25;153
1;1;3;4;4;13;13;16;12;22;153
2;1;3;2;2;21;20;15;19;17;154
2;1;3;2;2;15;28;17;23;14;154
2;1;3;3;7;27;15;25;23;27;155
2;1;3;3;7;23;19;27;23;28;155
1;1;6;5;7;30;34;29;31;32;157
1;1;6;5;7;30;34;32;33;32;157
1;1;4;4;4;21;11;26;20;22;160
1;1;4;4;4;24;27;26;29;23;160
2;2;3;5;3;28;20;24;25;23;161
2;2;3;5;3;24;25;28;25;27;161
2;1;5;6;4;19;29;20;18;24;164
2;1;5;6;4;22;25;24;21;24;164
2;1;5;6;2;30;32;31;30;28;165
2;1;5;6;2;30;27;31;28;29;165
2;2;4;5;5;23;20;22;24;25;166
2;2;4;5;5;21;18;17;15;18;166
2;1;4;5;3;25;18;20;23;19;167
2;1;4;5;3;24;23;23;20;20;167
2;1;3;3;4;21;24;23;28;25;168
2;1;3;3;4;22;26;28;29;28;168
2;2;5;5;3;14;22;20;10;22;170
2;2;5;5;3;22;17;21;14;23;170
2;2;3;6;6;20;25;26;23;22;171
2;2;3;6;6;21;18;19;15;18;171
1;2;4;1;2;25;23;21;27;22;173
1;2;4;1;2;20;12;16;21;21;173
2;2;4;5;4;25;27;18;21;23;175
2;2;4;5;4;24;21;26;25;26;175
2;1;5;5;5;23;28;26;25;28;176
2;1;5;5;5;24;31;24;26;27;176
2;2;3;4;3;27;24;28;28;25;177
2;2;3;4;3;30;23;31;28;31;177
2;1;4;6;5;26;24;32;26;28;178
2;1;4;6;5;25;29;32;22;30;178
1;2;3;5;4;19;28;25;25;24;179
1;2;3;5;4;25;33;28;27;23;179
2;1;4;3;4;22;20;19;13;12;182
2;1;4;3;4;20;22;18;20;17;182
2;1;1;2;2;19;17;18;20;14;183
2;1;1;2;2;17;18;19;19;16;183
2;2;5;6;4;19;20;18;22;22;184
2;2;5;6;4;24;23;21;24;23;184
1;2;4;5;5;20;30;22;22;24;190
1;2;4;5;5;24;32;23;21;27;190
1;1;3;4;4;29;35;30;31;28;192
1;1;3;4;4;30;30;29;28;30;192
2;2;5;4;2;24;20;26;20;28;195
2;2;5;4;2;17;25;16;12;19;195
1;1;3;3;4;17;20;19;19;19;198
1;1;3;3;4;16;22;18;18;21;198
2;1;2;1;2;18;12;17;12;18;199
2;1;2;1;2;17;18;20;21;20;199
1;1;3;4;3;13;17;13;12;15;200
1;1;3;4;3;11;19;12;21;11;200
2;1;1;1;2;22;23;21;14;27;203
2;1;1;1;2;24;25;23;23;30;203
1;2;5;3;4;19;20;27;22;25;206
1;2;5;3;4;18;17;18;18;22;206
2;2;3;5;3;26;28;24;25;26;207
2;2;3;5;3;28;25;25;26;28;207
2;2;3;5;3;20;24;23;22;23;209
2;2;3;5;3;25;25;25;20;28;209
2;1;5;6;4;24;24;24;24;28;212
2;1;5;6;4;22;29;27;28;25;212
1;1;3;3;1;14;14;12;13;10;214
1;1;3;3;1;14;14;18;15;16;214
1;1;4;2;3;19;12;26;20;26;215
1;1;4;2;3;21;24;28;21;27;215
1;1;1;1;1;16;23;24;26;16;216
1;1;1;1;1;16;20;21;25;14;216
2;1;6;5;7;15;14;14;23;15;218
2;1;6;5;7;16;16;17;24;17;218
1;2;4;5;4;21;27;23;28;23;220
1;2;4;5;4;26;33;25;30;26;220
2;2;4;5;4;27;13;23;18;21;222
2;2;4;5;4;20;16;20;16;25;222
2;1;6;6;7;30;26;31;27;32;224
2;1;6;6;7;30;25;29;20;31;224
1;1;3;3;2;19;31;27;27;25;226
1;1;3;3;2;22;31;26;31;25;226
2;2;6;6;4;26;24;23;23;23;228
2;2;6;6;4;24;27;23;25;24;228
2;1;5;6;3;27;17;27;22;28;234
2;1;5;6;3;28;21;22;21;30;234
1;2;3;3;2;18;25;17;26;18;235
1;2;3;3;2;23;27;25;27;26;235
2;1;5;3;4;30;25;22;22;24;236
2;1;5;3;4;30;25;23;22;25;236
1;2;1;1;3;28;21;26;26;26;237
1;2;1;1;3;24;24;32;27;28;237
2;1;5;3;3;26;28;21;29;23;238
2;1;5;3;3;26;28;28;28;29;238
1;1;6;4;3;25;25;25;25;27;240
1;1;6;4;3;27;29;28;27;27;240
2;1;3;2;1;12;11;20;14;20;242
2;1;3;2;1;16;7;24;14;24;242
2;2;4;6;7;19;19;13;18;18;243
2;2;4;6;7;15;20;19;21;19;243
2;1;1;2;4;28;29;28;29;27;244
2;1;1;2;4;31;34;30;29;30;244
2;1;3;4;4;28;28;26;25;27;245
2;1;3;4;4;30;29;26;25;28;245
1;1;3;4;5;25;30;24;26;22;248
1;1;3;4;5;23;31;25;27;24;248
2;2;4;4;4;15;18;10;18;15;250
2;2;4;4;4;18;18;16;9;17;250
1;1;2;1;2;23;24;23;24;22;253
1;1;2;1;2;22;27;27;26;23;253
1;1;4;6;3;21;22;24;21;24;255
1;1;4;6;3;25;30;25;22;20;255
2;2;5;4;5;21;18;23;21;16;262
2;2;5;4;5;25;32;21;25;22;262
1;1;3;3;4;14;23;17;16;10;263
1;1;3;3;4;17;22;15;13;15;263
2;1;1;1;2;22;12;25;18;22;265
2;1;1;1;2;20;10;21;22;22;265
2;1;1;1;1;24;23;23;23;21;266
2;1;1;1;1;24;27;24;25;24;266
2;2;1;2;1;18;17;15;12;12;268
2;2;1;2;1;20;18;16;14;14;268
2;1;3;3;3;19;17;16;13;14;269
2;1;3;3;3;23;16;18;15;17;269
2;2;3;1;2;17;13;13;10;17;270
2;2;3;1;2;21;7;16;16;18;270
2;2;3;1;2;17;11;15;16;16;271
2;2;3;1;2;13;17;19;19;14;271
2;1;4;5;3;22;22;21;22;22;272
2;1;4;5;3;20;23;24;22;24;272
2;2;2;1;1;22;11;21;12;17;274
2;2;2;1;1;17;17;17;17;18;274
1;1;6;5;2;22;26;23;24;27;275
1;1;6;5;2;11;20;21;18;21;275
1;1;5;6;4;18;23;24;21;23;277
1;1;5;6;4;23;30;22;24;25;277
1;2;3;1;3;20;26;20;18;17;279
1;2;3;1;3;19;20;16;21;18;279
1;1;6;2;4;20;24;16;23;19;281
1;1;6;2;4;24;25;17;26;22;281
2;1;5;3;4;26;29;22;23;24;287
2;1;5;3;4;19;17;21;23;22;287
2;1;6;4;3;26;17;25;10;29;288
2;1;6;4;3;22;22;22;15;25;288
2;1;2;4;3;19;19;17;19;19;291
2;1;2;4;3;17;20;18;21;19;291
2;2;3;1;3;26;24;29;27;28;295
2;2;3;1;3;12;4;15;17;18;295
2;1;3;2;2;25;25;24;25;25;304
2;1;3;2;2;25;22;21;21;25;304
2;1;5;3;5;27;19;23;24;20;308
2;1;5;3;5;29;32;27;27;22;308
2;1;3;3;2;24;22;14;18;21;309
2;1;3;3;2;22;14;16;20;23;309
2;2;3;6;4;21;19;19;18;23;310
2;2;3;6;4;24;19;25;24;24;310
2;1;2;3;2;22;24;20;20;20;311
2;1;2;3;2;24;30;24;25;24;311
2;2;2;2;1;27;20;23;16;26;312
2;2;2;2;1;25;20;23;21;25;312
1;1;5;3;2;21;31;20;21;22;315
1;1;5;3;2;17;31;19;25;18;315
1;2;3;3;2;20;29;25;26;26;316
1;2;3;3;2;15;14;17;16;21;316
2;1;2;2;4;24;22;19;18;21;317
2;1;2;2;4;22;20;18;12;21;317
1;2;2;2;3;24;30;28;25;27;318
1;2;2;2;3;19;20;17;20;20;318
1;1;3;5;3;17;24;16;22;21;319
1;1;3;5;3;21;22;19;20;22;319
1;2;5;3;2;14;14;13;14;14;320
1;2;5;3;2;10;19;13;6;13;320
2;1;3;3;2;21;26;21;21;15;321
2;1;3;3;2;21;15;18;17;17;321
1;1;3;5;4;24;32;25;27;23;323
1;1;3;5;4;26;34;29;26;24;323
2;2;4;6;5;26;20;22;20;24;324
2;2;4;6;5;28;19;22;19;25;324
2;2;3;2;4;17;17;26;23;24;327
2;2;3;2;4;13;18;18;22;19;327
1;1;3;3;2;9;17;16;21;16;329
1;1;3;3;2;12;17;13;6;12;329
1;2;3;3;3;24;28;25;26;24;332
1;2;3;3;3;21;25;25;20;22;332
1;2;3;3;3;19;28;20;18;20;335
1;2;3;3;3;17;25;19;17;12;335
2;1;4;4;3;22;28;28;21;25;336
2;1;4;4;3;21;30;28;29;19;336
2;1;3;3;2;24;23;24;26;20;337
2;1;3;3;2;22;21;21;19;22;337
1;1;4;6;1;27;34;26;26;28;338
1;1;4;6;1;27;24;21;25;23;338
1;1;3;1;2;16;18;7;17;15;340
1;1;3;1;2;11;17;14;12;14;340
2;1;4;6;3;20;20;18;21;19;342
2;1;4;6;3;17;19;15;16;19;342
2;1;3;2;3;21;16;12;11;18;343
2;1;3;2;3;21;14;18;15;17;343
1;1;4;5;4;19;22;24;24;30;345
1;1;4;5;4;22;32;27;29;30;345
2;1;2;3;3;22;28;22;25;24;348
2;1;2;3;3;23;28;25;27;24;348
2;1;4;5;4;13;12;14;20;14;351
2;1;4;5;4;14;10;19;14;16;351
1;1;4;3;2;11;12;13;16;17;355
1;1;4;3;2;10;11;15;13;14;355
2;1;4;3;3;18;15;20;22;19;358
2;1;4;3;3;19;15;21;20;14;358
1;2;3;3;4;11;11;15;9;15;360
1;2;3;3;4;21;19;19;14;18;360
2;1;3;5;4;23;15;21;12;27;362
2;1;3;5;4;21;15;21;13;24;362
2;2;4;1;2;24;24;20;24;24;363
2;2;4;1;2;22;24;22;23;22;363
2;1;5;5;4;21;16;21;16;19;365
2;1;5;5;4;16;14;19;18;19;365
2;2;3;3;3;27;28;27;27;30;367
2;2;3;3;3;21;21;24;19;25;367
1;2;3;4;3;20;25;21;23;22;371
1;2;3;4;3;17;19;20;17;22;371
1;1;1;2;2;19;28;24;20;24;374
1;1;1;2;2;16;23;22;18;21;374
2;2;3;3;1;23;13;23;19;23;377
2;2;3;3;1;20;7;19;12;21;377
2;2;3;4;3;30;21;25;25;29;380
2;2;3;4;3;24;19;23;23;29;380
1;1;4;5;5;23;34;29;29;29;382
1;1;4;5;5;24;32;29;28;30;382
1;1;4;4;6;20;13;25;12;25;383
1;1;4;4;6;9;16;19;10;21;383
1;2;3;6;4;23;29;26;29;29;385
1;2;3;6;4;27;32;24;27;24;385
2;1;5;6;6;18;18;23;20;23;386
2;1;5;6;6;21;22;23;19;23;386
1;1;3;4;4;18;14;17;20;18;388
1;1;3;4;4;15;19;20;15;18;388
2;1;3;3;2;17;12;19;18;15;392
2;1;3;3;2;21;12;18;14;18;392
2;2;5;5;4;19;14;17;15;19;393
2;2;5;5;4;19;16;23;8;24;393
2;2;5;5;5;24;11;18;13;19;394
2;2;5;5;5;25;20;14;17;18;394
1;2;5;6;6;23;26;20;19;24;396
1;2;5;6;6;26;33;28;27;26;396
2;1;2;2;3;20;26;26;18;25;397
2;1;2;2;3;21;28;26;24;26;397
2;1;3;3;3;19;26;27;21;26;402
2;1;3;3;3;22;23;30;18;28;402
2;2;2;3;2;22;29;20;18;19;406
2;2;2;3;2;22;19;19;15;18;406
2;1;4;3;4;7;4;9;8;14;408
2;1;4;3;4;17;12;10;12;17;408
2;2;3;4;7;19;20;13;17;18;411
2;2;3;4;7;15;23;17;18;21;411
2;1;4;6;6;26;31;20;16;21;412
2;1;4;6;6;22;30;23;25;22;412
2;2;5;5;4;19;26;19;23;17;415
2;2;5;5;4;15;21;16;21;14;415
2;1;6;6;7;16;10;22;11;19;416
2;1;6;6;7;14;14;20;14;22;416
1;2;4;2;1;25;28;23;28;22;417
1;2;4;2;1;25;28;28;29;22;417
2;1;5;6;4;26;22;26;26;27;418
2;1;5;6;4;23;26;24;25;29;418
2;1;4;4;2;25;28;23;27;23;420
2;1;4;4;2;27;32;23;23;22;420
2;2;2;4;2;16;5;21;13;17;421
2;2;2;4;2;17;13;18;14;18;421
2;1;4;3;7;17;18;16;21;16;423
2;1;4;3;7;17;14;20;23;19;423
1;1;3;4;3;14;21;15;23;17;425
1;1;3;4;3;19;22;19;21;16;425
2;1;4;6;6;20;25;15;23;20;427
2;1;4;6;6;20;25;17;26;25;427
2;2;3;6;2;25;31;26;28;23;428
2;2;3;6;2;27;33;24;29;24;428
1;1;3;1;3;20;27;18;21;19;429
1;1;3;1;3;21;28;16;23;21;429
1;2;3;3;3;25;22;18;23;22;430
1;2;3;3;3;23;25;26;23;22;430
2;2;4;6;3;13;14;16;11;19;432
2;2;4;6;3;17;12;18;15;16;432
2;1;4;4;5;21;22;21;17;22;433
2;1;4;4;5;27;22;17;15;24;433
2;1;4;6;3;21;23;22;23;23;435
2;1;4;6;3;25;21;23;25;20;435
1;2;4;3;2;23;20;21;24;20;437
1;2;4;3;2;26;25;22;21;24;437
2;1;2;1;2;12;20;15;17;12;438
2;1;2;1;2;15;18;14;17;13;438
1;2;2;3;2;26;33;24;28;24;439
1;2;2;3;2;24;30;31;26;27;439
1;1;4;3;2;20;29;23;29;24;440
1;1;4;3;2;21;30;26;25;25;440
2;2;3;3;3;22;10;23;17;20;442
2;2;3;3;3;21;17;18;20;19;442
1;1;4;4;3;17;27;19;21;16;444
1;1;4;4;3;19;23;22;23;19;444
2;2;4;3;2;18;14;15;12;14;445
2;2;4;3;2;17;20;19;21;14;445
1;1;3;1;2;10;20;24;22;19;446
1;1;3;1;2;18;17;19;22;20;446
1;1;4;1;3;16;18;14;11;22;447
1;1;4;1;3;13;14;22;17;24;447
2;1;1;4;3;22;21;22;24;24;449
2;1;1;4;3;25;16;25;26;27;449
1;2;4;1;1;19;32;16;24;13;453
1;2;4;1;1;21;33;27;28;25;453
2;1;4;2;1;16;20;23;23;21;454
2;1;4;2;1;20;16;19;15;21;454
1;2;3;3;3;6;8;11;11;15;455
1;2;3;3;3;5;11;13;4;12;455
2;2;3;3;2;16;16;17;14;17;456
2;2;3;3;2;20;20;19;14;20;456
2;2;3;2;2;18;13;19;11;21;461
2;2;3;2;2;18;17;15;23;19;461
2;1;3;3;3;19;11;19;12;14;462
2;1;3;3;3;18;20;21;16;14;462
1;2;2;3;2;20;22;22;25;21;466
1;2;2;3;2;17;20;21;21;16;466
1;2;5;3;3;22;26;20;21;16;467
1;2;5;3;3;25;25;21;23;18;467
1;1;5;5;3;23;34;32;30;29;468
1;1;5;5;3;27;34;32;30;29;468
1;2;1;1;2;22;28;21;26;22;471
1;2;1;1;2;17;20;11;14;19;471
1;1;4;5;5;25;32;29;29;24;472
1;1;4;5;5;27;32;30;27;30;472
1;1;4;5;4;15;23;25;19;28;474
1;1;4;5;4;18;29;21;24;24;474
2;2;5;3;2;20;20;20;26;18;475
2;2;5;3;2;19;20;15;24;19;475
2;2;6;2;4;14;14;16;11;16;476
2;2;6;2;4;14;20;17;18;19;476
2;1;3;6;3;21;25;20;23;24;477
2;1;3;6;3;23;32;24;27;23;477
2;2;3;1;3;23;20;21;18;21;478
2;2;3;1;3;13;10;16;18;17;478
2;2;3;3;2;19;18;20;21;20;479
2;2;3;3;2;20;25;20;20;22;479
2;2;4;4;4;17;26;22;23;21;480
2;2;4;4;4;6;16;13;15;14;480
1;1;5;6;6;20;30;22;25;20;481
1;1;5;6;6;21;29;24;25;21;481
1;1;3;4;4;20;24;23;23;18;483
1;1;3;4;4;23;24;23;26;18;483
2;2;5;4;3;16;26;13;19;17;484
2;2;5;4;3;22;24;14;20;17;484
2;1;3;3;3;16;18;16;15;10;485
2;1;3;3;3;16;21;17;12;15;485
2;1;3;4;2;25;17;20;25;24;487
2;1;3;4;2;22;23;22;25;21;487
1;1;3;2;2;15;11;12;9;14;493
1;1;3;2;2;16;16;17;18;12;493
1;1;3;1;1;20;20;21;21;22;494
1;1;3;1;1;21;21;18;25;20;494
2;2;4;6;4;18;18;16;19;16;497
2;2;4;6;4;19;25;15;22;16;497
