Sex;Zygosity;Moed;Faed;Famin;Eng;Math;Soc;Nat;Vocab;Pairs
1;1;2;3;4;15;29;20;17;20;499
1;1;2;3;4;16;32;25;24;22;499
2;2;3;2;5;15;11;15;3;14;509
2;2;3;2;5;18;18;13;18;14;509
1;1;1;2;1;23;22;17;17;23;511
1;1;1;2;1;17;18;19;20;20;511
2;2;1;3;4;17;8;15;13;18;515
2;2;1;3;4;19;13;15;12;17;515
1;2;4;5;2;9;8;18;13;10;517
1;2;4;5;2;16;19;20;11;15;517
2;2;1;1;2;25;14;26;17;25;518
2;2;1;1;2;20;10;19;12;22;518
1;1;2;2;1;17;17;19;25;22;519
1;1;2;2;1;12;6;18;21;19;519
2;2;5;6;6;22;29;22;24;20;521
2;2;5;6;6;26;33;26;28;24;521
2;1;4;6;7;19;20;22;14;23;522
2;1;4;6;7;19;21;24;20;21;522
2;2;3;3;3;13;18;13;12;18;523
2;2;3;3;3;24;14;18;17;20;523
1;2;3;4;1;18;17;20;18;14;524
1;2;3;4;1;19;20;22;20;20;524
1;1;1;1;2;22;17;23;12;25;529
1;1;1;1;2;15;13;20;19;24;529
1;1;2;2;2;23;24;21;24;18;530
1;1;2;2;2;18;28;25;25;21;530
2;1;6;6;5;7;11;15;4;21;532
2;1;6;6;5;11;8;16;10;18;532
2;1;5;4;2;14;16;13;10;15;535
2;1;5;4;2;21;20;16;8;17;535
2;2;3;5;4;21;18;21;17;22;537
2;2;3;5;4;23;21;23;23;22;537
1;1;5;3;4;13;22;16;14;17;540
1;1;5;3;4;11;24;20;21;21;540
1;2;6;6;4;24;20;20;25;23;541
1;2;6;6;4;25;31;25;27;26;541
1;2;3;3;2;22;25;19;19;21;544
1;2;3;3;2;19;24;22;24;20;544
2;1;4;6;7;19;20;15;4;22;547
2;1;4;6;7;21;19;16;9;23;547
1;1;4;3;2;17;14;23;23;22;549
1;1;4;3;2;20;18;21;20;24;549
1;2;3;3;3;20;24;28;24;27;553
1;2;3;3;3;25;29;28;26;27;553
1;2;4;4;4;18;21;20;16;18;555
1;2;4;4;4;19;19;18;19;20;555
2;1;4;4;4;21;14;24;16;25;562
2;1;4;4;4;20;20;25;15;23;562
2;2;5;6;4;19;20;16;23;26;568
2;2;5;6;4;22;22;21;19;24;568
2;2;2;3;3;19;20;21;19;19;569
2;2;2;3;3;17;16;19;18;16;569
1;2;2;3;2;19;20;19;21;20;571
1;2;2;3;2;23;21;17;21;20;571
2;1;3;5;6;22;21;20;23;23;573
2;1;3;5;6;20;15;18;19;21;573
2;2;3;3;2;16;11;13;17;18;574
2;2;3;3;2;17;14;20;26;18;574
1;2;5;5;5;23;33;32;30;32;575
1;2;5;5;5;22;26;27;21;30;575
1;1;4;4;4;15;18;22;23;23;576
1;1;4;4;4;19;18;18;21;19;576
2;1;3;3;3;21;20;18;23;22;577
2;1;3;3;3;22;22;22;17;25;577
1;2;3;4;5;20;24;17;20;18;579
1;2;3;4;5;13;27;11;21;17;579
2;2;4;5;5;23;23;25;19;28;581
2;2;4;5;5;18;15;23;15;23;581
2;1;2;3;3;19;20;18;18;18;582
2;1;2;3;3;21;13;20;23;17;582
1;2;3;1;1;18;23;17;23;19;583
1;2;3;1;1;17;21;25;21;19;583
1;1;4;4;2;11;26;20;21;18;586
1;1;4;4;2;15;18;26;19;19;586
2;2;1;1;1;19;24;19;11;21;588
2;2;1;1;1;17;18;20;20;19;588
2;2;5;6;7;26;25;28;29;31;592
2;2;5;6;7;28;31;30;31;32;592
2;1;3;5;7;24;21;27;22;27;593
2;1;3;5;7;26;25;27;19;27;593
2;1;1;3;5;18;10;16;10;18;598
2;1;1;3;5;22;20;21;15;18;598
1;1;3;3;2;18;33;17;9;15;599
1;1;3;3;2;18;32;18;20;21;599
2;1;3;3;4;18;19;17;11;19;600
2;1;3;3;4;22;22;17;14;20;600
1;2;4;1;2;24;29;21;24;21;605
1;2;4;1;2;16;26;23;15;23;605
1;2;3;4;3;18;17;22;19;22;608
1;2;3;4;3;14;20;20;21;18;608
2;2;3;4;4;27;35;29;29;24;610
2;2;3;4;4;17;29;19;21;20;610
2;2;1;3;1;18;12;18;21;18;614
2;2;1;3;1;18;20;17;21;18;614
2;1;3;5;3;14;10;14;8;16;617
2;1;3;5;3;13;12;16;12;17;617
2;2;1;2;3;23;25;17;24;25;618
2;2;1;2;3;21;25;25;24;27;618
2;1;4;5;5;25;23;26;25;24;620
2;1;4;5;5;26;26;24;23;24;620
2;1;2;2;1;14;16;20;15;25;621
2;1;2;2;1;14;20;24;12;24;621
2;2;6;6;4;26;32;23;22;26;623
2;2;6;6;4;22;29;25;28;31;623
2;1;4;3;2;28;26;28;21;29;624
2;1;4;3;2;25;29;26;26;26;624
2;1;2;4;1;15;13;19;10;18;625
2;1;2;4;1;18;16;17;13;18;625
1;2;5;6;5;24;29;31;27;30;626
1;2;5;6;5;23;25;25;9;23;626
2;1;2;6;2;18;21;21;13;21;627
2;1;2;6;2;19;20;18;11;19;627
1;2;5;4;3;24;25;24;19;22;629
1;2;5;4;3;24;28;21;24;27;629
2;2;1;3;2;16;22;17;9;17;631
2;2;1;3;2;21;16;13;15;16;631
2;1;3;3;1;17;18;18;9;13;632
2;1;3;3;1;19;11;18;17;14;632
1;1;3;1;2;14;24;15;12;14;633
1;1;3;1;2;16;19;20;23;11;633
2;2;4;3;1;23;14;20;21;26;636
2;2;4;3;1;19;22;16;19;20;636
2;1;2;2;1;12;17;15;3;15;641
2;1;2;2;1;13;16;11;13;15;641
1;1;3;5;5;17;20;18;18;18;642
1;1;3;5;5;11;19;16;15;18;642
1;2;3;4;5;21;20;18;23;20;643
1;2;3;4;5;21;19;20;24;22;643
2;1;3;3;4;26;26;25;23;28;645
2;1;3;3;4;24;28;29;26;29;645
2;1;3;3;1;9;12;13;12;15;647
2;1;3;3;1;7;13;13;18;13;647
1;1;5;5;4;23;19;26;20;29;650
1;1;5;5;4;18;20;17;22;23;650
2;1;2;3;3;19;26;21;20;20;651
2;1;2;3;3;19;20;21;17;20;651
1;1;3;3;3;15;31;22;26;18;652
1;1;3;3;3;17;23;27;27;20;652
2;1;5;5;5;12;17;14;13;14;653
2;1;5;5;5;14;19;15;16;17;653
2;1;6;4;3;18;10;22;24;22;655
2;1;6;4;3;24;11;20;22;28;655
1;2;4;4;3;24;30;26;26;24;656
1;2;4;4;3;23;32;28;25;24;656
1;2;3;3;4;21;28;19;27;20;658
1;2;3;3;4;15;13;17;15;18;658
2;2;6;3;4;10;8;5;10;8;659
2;2;6;3;4;18;23;17;12;15;659
2;2;1;1;2;22;25;21;18;26;661
2;2;1;1;2;17;21;20;18;19;661
2;1;4;4;3;16;10;16;11;22;666
2;1;4;4;3;13;10;18;13;19;666
1;2;4;3;4;17;19;26;23;25;667
1;2;4;3;4;11;21;25;24;23;667
2;2;3;3;1;9;6;13;9;14;672
2;2;3;3;1;14;6;14;18;14;672
1;1;3;4;3;13;21;24;22;18;673
1;1;3;4;3;16;27;24;20;18;673
1;1;5;6;5;27;35;30;32;28;674
1;1;5;6;5;30;35;32;33;28;674
2;1;2;3;5;13;21;18;15;20;677
2;1;2;3;5;11;20;16;15;16;677
1;2;1;2;1;13;8;16;14;10;678
1;2;1;2;1;18;13;13;11;16;678
2;2;4;3;3;22;22;27;26;24;679
2;2;4;3;3;24;20;21;22;24;679
2;1;4;6;5;25;28;25;28;27;680
2;1;4;6;5;27;27;28;28;28;680
1;2;4;6;4;15;14;16;18;20;684
1;2;4;6;4;15;20;21;17;22;684
2;2;5;4;1;19;30;24;17;20;685
2;2;5;4;1;14;15;18;15;19;685
2;1;4;4;4;20;15;20;16;20;688
2;1;4;4;4;19;18;23;22;21;688
2;2;2;1;1;28;18;25;25;25;689
2;2;2;1;1;17;22;19;20;15;689
2;2;3;5;4;22;26;21;26;24;691
2;2;3;5;4;20;22;25;14;20;691
2;1;4;4;5;23;14;17;9;23;692
2;1;4;4;5;26;22;20;17;26;692
1;1;3;3;2;7;14;13;15;14;694
1;1;3;3;2;14;17;19;9;14;694
2;1;6;3;2;14;22;16;21;15;696
2;1;6;3;2;14;20;17;10;16;696
2;2;3;6;2;17;14;10;17;16;698
2;2;3;6;2;15;18;20;18;14;698
1;1;3;2;5;21;31;22;23;19;701
1;1;3;2;5;24;33;27;28;24;701
1;1;1;1;1;18;21;19;18;19;704
1;1;1;1;1;19;25;23;24;21;704
1;1;2;3;2;15;21;26;23;20;705
1;1;2;3;2;23;31;26;25;22;705
1;1;4;4;3;21;32;27;28;22;707
1;1;4;4;3;25;29;30;25;22;707
2;2;3;5;7;18;24;19;18;23;713
2;2;3;5;7;22;20;23;24;27;713
2;1;3;1;1;22;8;17;15;18;718
2;1;3;1;1;22;14;16;17;17;718
2;2;3;4;4;22;22;25;23;30;720
2;2;3;4;4;27;28;23;26;24;720
1;1;3;4;2;12;14;13;14;19;721
1;1;3;4;2;15;15;15;10;21;721
2;2;3;4;2;18;24;17;17;16;723
2;2;3;4;2;20;25;21;21;19;723
1;1;3;3;3;16;22;17;3;17;724
1;1;3;3;3;19;18;17;13;17;724
2;1;2;1;1;24;19;21;25;26;725
2;1;2;1;1;21;24;23;27;24;725
2;1;3;1;7;21;14;16;14;18;729
2;1;3;1;7;20;17;17;15;15;729
2;1;2;4;1;21;19;19;25;21;732
2;1;2;4;1;25;23;19;21;20;732
1;1;6;2;1;10;16;13;12;14;733
1;1;6;2;1;14;10;17;16;16;733
2;1;2;2;3;13;11;15;16;10;735
2;1;2;2;3;13;13;14;16;14;735
1;2;3;3;3;17;20;13;17;16;741
1;2;3;3;3;21;17;19;21;18;741
2;1;3;3;5;19;15;15;17;19;743
2;1;3;3;5;20;17;15;17;18;743
2;1;4;3;1;20;11;18;18;21;745
2;1;4;3;1;19;14;22;17;21;745
2;1;5;5;4;13;11;15;14;16;746
2;1;5;5;4;14;16;16;14;20;746
1;1;3;5;3;13;12;16;14;14;749
1;1;3;5;3;19;17;18;20;19;749
1;2;5;4;4;21;21;24;27;29;752
1;2;5;4;4;22;31;25;26;23;752
2;1;3;3;2;20;16;16;13;16;754
2;1;3;3;2;20;13;19;18;14;754
2;1;5;6;4;26;26;27;29;32;755
2;1;5;6;4;26;32;29;29;32;755
1;1;3;3;4;17;25;25;29;21;758
1;1;3;3;4;22;20;26;29;22;758
2;2;3;3;4;17;26;20;22;21;759
2;2;3;3;4;15;12;17;14;15;759
2;2;2;1;1;13;11;18;9;16;764
2;2;2;1;1;11;17;15;14;16;764
1;2;3;4;3;18;29;17;29;17;766
1;2;3;4;3;18;29;26;22;23;766
1;1;3;6;4;26;34;27;30;30;768
1;1;3;6;4;28;33;27;28;32;768
1;1;2;1;2;18;16;23;20;24;771
1;1;2;1;2;13;17;18;9;20;771
2;1;4;3;2;23;20;20;24;20;773
2;1;4;3;2;17;16;23;14;21;773
2;2;4;3;7;11;19;14;16;16;774
2;2;4;3;7;17;18;18;21;14;774
2;2;4;4;1;21;12;26;26;26;775
2;2;4;4;1;24;14;26;25;26;775
2;2;5;4;4;22;21;23;21;18;776
2;2;5;4;4;25;25;24;21;19;776
1;1;4;5;2;23;19;24;20;23;779
1;1;4;5;2;21;27;22;22;23;779
2;2;4;1;2;19;21;18;25;21;780
2;2;4;1;2;25;28;23;24;22;780
1;2;3;4;2;23;31;24;29;22;783
1;2;3;4;2;28;32;28;27;29;783
1;1;3;4;3;21;24;24;25;22;785
1;1;3;4;3;24;28;26;27;25;785
1;1;4;3;3;19;20;17;23;19;786
1;1;4;3;3;22;18;23;24;18;786
1;1;3;2;2;16;17;10;18;13;787
1;1;3;2;2;20;17;18;21;16;787
1;2;3;3;2;17;17;25;24;23;789
1;2;3;3;2;12;16;18;23;22;789
2;2;1;3;2;14;23;15;17;17;791
2;2;1;3;2;20;24;19;11;19;791
2;2;2;2;1;10;10;8;12;16;792
2;2;2;2;1;14;11;9;7;15;792
2;1;1;2;1;18;16;13;7;16;797
2;1;1;2;1;17;21;13;12;16;797
2;1;4;5;4;24;23;19;14;23;800
2;1;4;5;4;21;23;20;22;22;800
2;1;3;5;3;26;17;20;12;23;801
2;1;3;5;3;24;25;15;17;20;801
2;1;3;2;2;26;19;19;20;22;805
2;1;3;2;2;26;21;21;25;22;805
2;2;3;6;4;26;19;20;23;22;809
2;2;3;6;4;29;25;26;26;28;809
2;1;2;4;2;16;19;19;18;19;811
2;1;2;4;2;15;22;20;23;18;811
1;1;3;2;3;13;10;11;10;11;812
1;1;3;2;3;22;18;15;23;22;812
2;1;3;3;3;14;6;15;10;14;814
2;1;3;3;3;19;12;12;16;17;814
1;2;3;1;2;12;27;22;21;19;816
1;2;3;1;2;12;17;18;20;18;816
1;1;5;6;3;29;34;26;29;30;819
1;1;5;6;3;30;35;30;28;30;819
1;1;3;3;4;9;15;15;13;12;820
1;1;3;3;4;12;13;16;10;16;820
1;1;2;2;2;16;18;15;11;19;821
1;1;2;2;2;13;17;16;19;19;821
2;2;4;4;2;15;24;22;24;25;822
2;2;4;4;2;14;15;22;14;20;822
2;2;3;4;5;22;17;26;23;29;823
2;2;3;4;5;26;24;30;28;31;823
2;2;2;1;3;19;24;25;22;26;824
2;2;2;1;3;23;25;23;23;24;824
1;1;5;6;6;22;34;28;24;29;825
1;1;5;6;6;25;32;27;31;29;825
2;2;5;5;5;20;31;19;25;24;826
2;2;5;5;5;22;33;27;24;30;826
2;1;5;5;6;28;26;26;25;26;828
2;1;5;5;6;30;32;25;26;29;828
1;1;3;3;1;13;28;21;14;17;829
1;1;3;3;1;14;14;18;17;17;829
2;2;3;2;3;17;19;23;22;24;830
2;2;3;2;3;20;20;28;17;27;830
2;1;2;2;2;21;18;22;15;25;831
2;1;2;2;2;19;10;20;18;23;831
1;1;3;4;3;20;23;18;22;18;832
1;1;3;4;3;19;24;18;23;19;832
2;1;3;2;4;27;30;26;31;30;833
2;1;3;2;4;25;30;28;31;31;833
2;1;1;1;3;18;18;20;16;25;837
2;1;1;1;3;21;17;24;17;24;837
2;2;2;3;4;14;12;17;13;15;838
2;2;2;3;4;17;11;18;14;17;838
2;1;4;4;3;25;19;30;25;25;839
2;1;4;4;3;25;22;25;26;24;839
2;1;5;6;7;21;18;21;12;20;840
2;1;5;6;7;19;19;15;16;20;840
2;2;4;2;3;21;24;17;20;22;841
2;2;4;2;3;28;31;19;22;24;841
2;1;3;2;2;15;12;20;21;20;842
2;1;3;2;2;11;19;21;10;19;842
2;2;3;4;7;20;28;21;23;22;844
2;2;3;4;7;20;26;20;26;22;844
1;2;1;1;2;24;29;19;20;27;847
1;2;1;1;2;20;26;21;16;22;847
1;2;2;2;2;21;20;19;16;19;848
1;2;2;2;2;16;13;18;14;21;848
2;1;4;4;4;21;17;22;20;29;849
2;1;4;4;4;23;8;24;10;28;849
1;1;2;2;1;20;20;30;15;29;851
1;1;2;2;1;23;25;21;14;27;851
1;2;3;4;4;25;31;25;25;21;852
1;2;3;4;4;18;23;15;9;17;852
1;2;2;2;2;20;22;24;23;26;853
1;2;2;2;2;17;30;27;26;25;853
1;2;5;3;2;27;30;31;27;27;854
1;2;5;3;2;27;31;30;25;31;854
1;1;3;6;4;18;20;17;14;21;857
1;1;3;6;4;15;24;17;15;21;857
2;2;3;2;3;24;25;22;21;27;858
2;2;3;2;3;26;28;28;25;24;858
2;1;2;4;2;20;22;28;10;29;859
2;1;2;4;2;21;25;26;22;29;859
1;2;5;3;2;22;27;26;26;25;861
1;2;5;3;2;23;26;26;24;27;861
2;1;3;3;1;20;13;20;19;17;862
2;1;3;3;1;19;24;23;21;21;862
2;2;6;6;3;27;24;26;25;28;863
2;2;6;6;3;29;26;24;21;28;863
2;1;3;4;2;24;18;25;15;24;864
2;1;3;4;2;24;24;22;25;27;864
1;2;3;4;3;16;23;27;24;24;865
1;2;3;4;3;19;27;26;27;24;865
1;2;3;4;2;13;20;19;16;14;867
1;2;3;4;2;13;12;19;16;17;867
1;1;4;5;2;17;25;23;14;20;869
1;1;4;5;2;16;21;18;18;19;869
2;2;4;2;2;22;21;24;25;26;870
2;2;4;2;2;17;18;22;16;16;870
1;1;3;5;4;13;14;24;16;19;872
1;1;3;5;4;12;16;20;12;18;872
1;2;2;1;1;12;20;21;18;18;873
1;2;2;1;1;14;20;22;19;17;873
1;1;4;4;4;21;25;17;20;25;875
1;1;4;4;4;19;26;25;16;26;875
2;2;3;3;3;19;21;19;18;17;877
2;2;3;3;3;21;18;12;13;19;877
2;2;4;4;2;17;25;20;20;19;879
2;2;4;4;2;22;20;24;17;22;879
2;2;3;3;3;16;19;20;15;23;881
2;2;3;3;3;18;30;23;23;24;881
2;1;5;6;3;17;21;20;14;20;883
2;1;5;6;3;22;22;22;13;26;883
2;1;3;2;2;13;23;26;21;20;885
2;1;3;2;2;20;23;24;19;20;885
2;1;3;4;4;15;23;18;12;21;887
2;1;3;4;4;14;15;17;16;23;887
1;2;4;6;5;20;29;23;26;27;889
1;2;4;6;5;20;29;22;21;23;889
2;2;2;4;2;17;24;22;17;19;890
2;2;2;4;2;20;24;24;25;28;890
1;1;3;4;3;13;15;21;23;20;891
1;1;3;4;3;17;18;21;21;19;891
2;1;4;4;4;21;26;30;28;26;892
2;1;4;4;4;23;28;26;27;28;892
2;1;3;4;3;22;21;23;21;23;893
2;1;3;4;3;24;19;18;22;20;893
2;1;4;3;4;24;24;23;27;23;896
2;1;4;3;4;24;25;23;20;22;896
2;1;4;6;5;24;21;28;26;27;897
2;1;4;6;5;28;33;29;26;28;897
2;2;5;5;4;19;32;27;21;24;898
2;2;5;5;4;15;17;21;17;28;898
1;1;3;1;3;14;20;17;16;19;901
1;1;3;1;3;14;18;18;21;20;901
2;1;2;2;4;22;13;16;18;20;902
2;1;2;2;4;15;14;17;12;18;902
2;1;5;5;1;27;30;27;28;24;904
2;1;5;5;1;26;27;25;30;24;904
2;1;2;1;5;20;22;20;21;23;905
2;1;2;1;5;22;28;24;22;27;905
2;1;6;6;6;27;28;24;30;27;908
2;1;6;6;6;25;30;27;29;26;908
2;1;5;4;5;24;29;26;21;24;911
2;1;5;4;5;23;26;24;27;23;911
1;2;6;6;4;23;30;28;25;27;912
1;2;6;6;4;22;25;24;23;24;912
1;1;3;4;4;23;30;28;29;24;913
1;1;3;4;4;19;29;27;26;22;913
1;2;3;2;3;15;24;20;22;17;914
1;2;3;2;3;16;22;25;25;18;914
1;2;4;4;3;19;23;23;19;18;917
1;2;4;4;3;19;24;24;25;21;917
2;2;4;4;7;21;25;16;20;20;919
2;2;4;4;7;20;23;16;17;23;919
1;2;3;5;4;12;25;19;17;17;920
1;2;3;5;4;16;22;22;23;21;920
1;2;4;3;3;21;26;25;28;29;921
1;2;4;3;3;22;34;28;29;26;921
1;1;3;4;4;20;30;28;25;25;922
1;1;3;4;4;20;32;27;26;24;922
2;1;1;1;2;21;20;17;24;23;923
2;1;1;1;2;22;21;20;24;17;923
2;1;5;5;5;23;26;25;21;22;924
2;1;5;5;5;17;26;17;19;23;924
2;2;3;1;4;20;22;19;18;20;925
2;2;3;1;4;20;20;16;17;17;925
2;1;4;2;4;14;13;19;20;18;930
2;1;4;2;4;10;11;18;8;16;930
2;1;4;3;7;21;23;25;17;22;931
2;1;4;3;7;21;24;23;19;25;931
2;2;6;6;4;25;25;24;19;30;935
2;2;6;6;4;27;32;26;26;30;935
1;1;2;1;1;20;21;27;23;31;938
1;1;2;1;1;22;23;29;26;31;938
1;1;2;3;2;18;25;23;19;23;939
1;1;2;3;2;16;22;25;20;22;939
2;1;3;2;1;20;21;19;19;22;941
2;1;3;2;1;16;12;13;19;18;941
1;1;3;3;3;25;21;27;23;24;943
1;1;3;3;3;24;25;30;23;25;943
1;1;4;5;4;26;25;18;24;20;944
1;1;4;5;4;22;22;26;24;22;944
2;1;3;4;3;17;19;21;17;19;948
2;1;3;4;3;21;21;20;20;18;948
1;1;2;2;3;24;34;26;22;27;951
1;1;2;2;3;27;34;26;18;28;951
1;2;4;6;7;25;31;27;31;30;953
1;2;4;6;7;27;35;31;32;31;953
1;1;2;2;4;19;30;27;26;25;957
1;1;2;2;4;20;30;29;28;28;957
2;2;3;5;7;18;16;17;14;18;959
2;2;3;5;7;20;32;25;18;24;959
2;2;3;3;4;24;15;23;24;20;963
2;2;3;3;4;23;31;30;25;30;963
2;1;1;1;3;23;22;18;21;18;965
2;1;1;1;3;20;20;21;23;19;965
1;1;3;6;6;19;24;17;15;16;966
1;1;3;6;6;15;26;7;13;16;966
2;1;5;6;7;20;21;23;14;27;968
2;1;5;6;7;22;22;25;20;29;968
2;1;5;5;4;12;21;18;20;22;971
2;1;5;5;4;21;19;20;19;24;971
1;2;3;3;4;18;20;23;25;21;973
1;2;3;3;4;15;16;13;20;16;973
2;1;5;1;1;17;14;18;23;26;974
2;1;5;1;1;15;17;26;23;23;974
1;1;4;1;3;25;22;23;28;21;975
1;1;4;1;3;23;23;22;24;22;975
2;1;4;5;3;24;24;25;12;26;980
2;1;4;5;3;17;17;24;13;21;980
2;1;3;2;3;20;26;21;25;23;981
2;1;3;2;3;20;28;25;20;24;981
2;2;2;5;6;22;25;19;19;24;982
2;2;2;5;6;20;14;21;17;23;982
2;2;5;3;3;22;21;23;26;22;983
2;2;5;3;3;21;33;24;26;22;983
1;2;6;4;6;23;32;26;30;27;987
1;2;6;4;6;20;10;23;18;27;987
1;2;2;2;3;21;31;21;23;19;989
1;2;2;2;3;24;25;27;24;21;989
2;2;3;5;3;23;27;22;23;20;991
2;2;3;5;3;18;22;23;26;24;991
1;2;3;5;4;18;20;20;16;17;992
1;2;3;5;4;16;18;17;17;20;992
1;2;2;4;3;20;23;26;25;24;994
1;2;2;4;3;16;21;19;16;17;994
1;1;2;3;2;13;21;22;13;18;1000
1;1;2;3;2;13;28;23;22;20;1000
1;1;2;3;4;26;33;27;28;24;1002
1;1;2;3;4;21;27;24;27;22;1002
2;1;5;6;6;27;27;28;23;29;1003
2;1;5;6;6;27;32;31;27;28;1003
2;1;3;3;1;16;8;15;3;17;1005
2;1;3;3;1;16;21;18;15;23;1005
2;1;2;2;2;13;11;18;12;16;1006
2;1;2;2;2;18;17;22;10;19;1006
1;1;2;2;2;23;28;26;30;24;1007
1;1;2;2;2;25;29;28;29;29;1007
1;2;6;2;2;24;30;24;26;25;1011
1;2;6;2;2;20;21;15;19;19;1011
2;1;3;2;4;20;19;16;16;9;1013
2;1;3;2;4;17;20;16;18;15;1013
2;1;6;6;4;19;22;23;20;25;1017
2;1;6;6;4;16;24;24;23;24;1017
2;1;5;5;5;22;22;21;9;24;1020
2;1;5;5;5;23;25;24;22;22;1020
1;2;3;3;7;18;20;19;22;19;1022
1;2;3;3;7;24;27;18;23;22;1022
