Sex;Zygosity;Moed;Faed;Famin;Eng;Math;Soc;Nat;Vocab;Pairs
2;1;2;3;1;21;22;27;24;24;1023
2;1;2;3;1;27;21;26;27;24;1023
2;1;1;1;1;3;10;4;8;8;1026
2;1;1;1;1;8;10;3;9;5;1026
2;2;3;3;3;19;16;18;10;15;1028
2;2;3;3;3;12;11;13;13;6;1028
1;1;4;6;4;14;21;16;20;15;1029
1;1;4;6;4;14;25;20;19;16;1029
2;2;1;2;5;22;10;26;22;22;1036
2;2;1;2;5;18;10;24;25;16;1036
2;2;5;1;4;19;8;10;17;16;1037
2;2;5;1;4;22;16;16;12;19;1037
2;1;3;3;4;25;22;26;27;28;1041
2;1;3;3;4;24;26;26;23;24;1041
2;1;4;6;7;20;14;19;14;22;1043
2;1;4;6;7;20;18;18;15;21;1043
2;2;2;3;3;11;12;17;13;16;1044
2;2;2;3;3;20;26;19;10;15;1044
1;1;3;4;5;21;25;21;21;24;1045
1;1;3;4;5;23;27;21;23;22;1045
2;2;4;5;3;17;16;22;23;20;1046
2;2;4;5;3;23;22;26;18;23;1046
1;1;4;3;2;17;20;19;22;23;1048
1;1;4;3;2;15;24;19;23;23;1048
1;1;3;3;1;22;20;15;9;12;1050
1;1;3;3;1;21;13;14;16;15;1050
2;1;3;3;3;22;27;25;29;32;1051
2;1;3;3;3;22;18;28;25;31;1051
1;1;5;3;3;7;12;18;18;19;1054
1;1;5;3;3;20;20;23;11;18;1054
2;1;4;6;7;25;33;27;18;29;1056
2;1;4;6;7;25;27;23;14;28;1056
1;2;4;4;4;20;23;26;30;28;1057
1;2;4;4;4;19;20;23;26;20;1057
1;1;2;3;2;9;11;8;12;18;1059
1;1;2;3;2;13;10;11;15;16;1059
1;2;3;4;4;25;33;27;28;26;1062
1;2;3;4;4;22;21;22;23;21;1062
1;2;5;6;5;26;32;29;29;28;1065
1;2;5;6;5;23;35;26;33;28;1065
1;1;2;2;3;21;29;21;25;22;1070
1;1;2;2;3;22;30;25;26;25;1070
1;2;4;6;5;11;24;20;25;20;1071
1;2;4;6;5;14;26;22;26;21;1071
1;1;5;6;4;25;28;31;30;27;1072
1;1;5;6;4;24;30;29;29;31;1072
2;2;3;4;4;19;21;19;23;24;1074
2;2;3;4;4;18;26;18;20;20;1074
2;2;4;3;5;20;23;15;13;18;1078
2;2;4;3;5;19;13;14;13;19;1078
2;1;4;3;4;19;17;17;16;17;1079
2;1;4;3;4;22;16;18;22;18;1079
1;1;4;3;2;15;21;18;16;20;1083
1;1;4;3;2;17;13;16;15;25;1083
1;1;2;4;2;17;13;13;15;18;1085
1;1;2;4;2;18;19;17;22;18;1085
2;1;3;2;2;18;24;23;16;22;1089
2;1;3;2;2;20;20;23;26;24;1089
1;1;3;3;3;16;27;22;17;21;1091
1;1;3;3;3;20;25;21;24;23;1091
1;1;3;6;4;25;22;24;25;19;1092
1;1;3;6;4;27;24;21;28;21;1092
2;1;3;4;4;17;29;23;24;25;1096
2;1;3;4;4;20;23;21;25;22;1096
1;2;4;3;2;25;30;17;23;22;1097
1;2;4;3;2;20;29;28;24;26;1097
2;2;3;1;2;21;17;24;23;20;1099
2;2;3;1;2;24;23;21;25;25;1099
2;1;5;4;5;21;13;12;10;20;1100
2;1;5;4;5;19;16;17;16;20;1100
2;1;3;2;2;21;29;19;23;20;1103
2;1;3;2;2;24;21;22;24;21;1103
1;2;5;4;4;23;28;20;28;23;1104
1;2;5;4;4;26;30;24;30;26;1104
1;2;3;4;2;24;24;21;25;21;1107
1;2;3;4;2;20;20;15;23;17;1107
2;2;3;2;3;12;14;13;11;18;1108
2;2;3;2;3;21;16;20;10;19;1108
1;1;2;1;1;17;13;20;18;16;1109
1;1;2;1;1;18;11;22;16;18;1109
1;2;3;3;4;20;18;21;20;21;1110
1;2;3;3;4;20;20;26;25;26;1110
1;1;3;4;2;19;23;19;26;19;1111
1;1;3;4;2;20;28;18;23;22;1111
2;1;3;4;2;23;20;16;20;19;1112
2;1;3;4;2;23;13;18;19;16;1112
1;2;3;3;4;11;13;16;21;21;1113
1;2;3;3;4;12;16;18;23;18;1113
2;2;3;5;2;18;10;15;15;22;1114
2;2;3;5;2;11;20;14;13;22;1114
2;1;4;6;7;22;26;17;18;18;1117
2;1;4;6;7;21;25;20;18;17;1117
1;1;2;4;4;20;30;20;20;22;1118
1;1;2;4;4;15;21;17;21;14;1118
2;1;2;3;5;18;14;17;16;18;1119
2;1;2;3;5;17;14;23;17;21;1119
1;1;3;4;4;18;22;23;25;24;1120
1;1;3;4;4;20;22;23;25;25;1120
2;2;4;4;4;23;25;19;17;21;1122
2;2;4;4;4;24;30;26;24;25;1122
1;2;4;5;4;22;23;21;23;20;1123
1;2;4;5;4;22;26;16;27;21;1123
1;1;4;3;2;21;21;19;21;20;1124
1;1;4;3;2;17;12;11;17;16;1124
2;1;3;3;3;18;6;15;13;15;1125
2;1;3;3;3;18;10;18;16;18;1125
2;2;4;4;2;11;8;15;13;14;1127
2;2;4;4;2;16;3;12;18;19;1127
1;2;6;6;4;22;22;20;17;24;1128
1;2;6;6;4;23;28;23;23;27;1128
1;2;4;6;5;22;22;24;25;18;1130
1;2;4;6;5;28;33;31;31;27;1130
1;1;4;5;3;21;27;28;21;27;1131
1;1;4;5;3;24;33;27;29;24;1131
2;1;4;3;2;18;18;19;16;20;1133
2;1;4;3;2;19;13;15;12;17;1133
2;1;4;5;2;17;17;16;9;16;1135
2;1;4;5;2;19;13;17;13;16;1135
2;1;3;3;7;15;11;15;8;14;1136
2;1;3;3;7;17;13;8;17;16;1136
1;2;2;4;1;9;20;17;18;14;1137
1;2;2;4;1;13;18;16;20;12;1137
2;2;4;6;4;24;21;19;22;18;1138
2;2;4;6;4;17;14;18;17;15;1138
2;1;5;6;5;17;23;19;22;18;1140
2;1;5;6;5;20;20;18;23;19;1140
2;1;4;6;4;25;18;26;23;21;1142
2;1;4;6;4;24;24;25;24;22;1142
1;2;4;6;3;21;19;24;25;17;1143
1;2;4;6;3;27;29;28;30;24;1143
2;2;5;3;2;28;25;29;26;28;1144
2;2;5;3;2;19;21;22;23;22;1144
2;2;5;5;3;17;11;24;19;20;1145
2;2;5;5;3;18;13;15;17;15;1145
2;1;4;3;3;23;15;17;21;23;1146
2;1;4;3;3;21;22;18;20;21;1146
2;1;6;6;4;28;28;28;28;32;1147
2;1;6;6;4;29;29;27;29;30;1147
2;2;4;4;3;19;21;9;17;15;1148
2;2;4;4;3;18;18;12;20;15;1148
1;1;3;3;2;16;23;21;20;19;1152
1;1;3;3;2;17;19;19;23;20;1152
1;2;6;3;3;12;13;14;12;17;1154
1;2;6;3;3;17;18;14;12;13;1154
1;2;5;5;5;26;30;24;22;23;1158
1;2;5;5;5;20;24;12;17;18;1158
2;1;5;4;3;10;8;14;10;13;1159
2;1;5;4;3;15;8;13;11;15;1159
2;1;2;1;3;20;20;17;15;18;1160
2;1;2;1;3;17;22;14;17;17;1160
2;1;5;3;4;16;19;21;23;15;1163
2;1;5;3;4;20;20;20;24;15;1163
1;2;3;3;4;9;20;15;6;17;1164
1;2;3;3;4;15;17;16;12;17;1164
1;1;3;4;3;15;30;24;27;22;1165
1;1;3;4;3;16;24;23;25;17;1165
1;1;3;4;3;21;33;27;28;22;1166
1;1;3;4;3;20;31;28;29;22;1166
2;2;5;4;3;24;30;30;25;24;1167
2;2;5;4;3;23;22;26;28;23;1167
1;1;3;2;1;19;22;17;18;18;1168
1;1;3;2;1;14;14;15;18;15;1168
1;1;5;3;2;18;25;23;24;22;1169
1;1;5;3;2;20;27;22;27;26;1169
1;2;2;2;4;17;24;21;23;18;1172
1;2;2;2;4;14;22;18;17;20;1172
2;2;3;3;2;21;18;20;23;23;1173
2;2;3;3;2;19;17;17;16;18;1173
2;1;3;2;4;19;20;24;19;20;1174
2;1;3;2;4;20;21;20;23;20;1174
2;2;5;6;2;15;17;20;17;18;1175
2;2;5;6;2;17;20;18;11;15;1175
2;1;3;3;2;20;19;17;22;21;1176
2;1;3;3;2;19;14;14;13;18;1176
1;1;2;2;1;16;17;17;20;12;1181
1;1;2;2;1;10;20;19;19;15;1181
2;2;3;4;2;27;33;27;29;30;1182
2;2;3;4;2;21;23;28;19;27;1182
1;1;1;1;1;15;18;18;24;18;1184
1;1;1;1;1;18;16;19;17;16;1184
2;2;1;3;1;22;14;19;11;18;1185
2;2;1;3;1;20;17;17;15;21;1185
1;1;5;6;7;22;30;18;15;22;1186
1;1;5;6;7;24;22;17;23;22;1186
2;2;3;2;1;18;19;15;16;17;1189
2;2;3;2;1;11;12;17;16;18;1189
2;1;3;3;4;17;31;26;25;25;1191
2;1;3;3;4;12;20;23;23;24;1191
1;1;3;3;1;21;22;16;21;19;1192
1;1;3;3;1;19;26;20;24;18;1192
1;1;4;4;4;17;20;15;18;18;1194
1;1;4;4;4;16;17;19;19;16;1194
1;1;1;1;2;18;20;18;20;17;1201
1;1;1;1;2;20;20;19;17;20;1201
1;1;2;3;1;23;23;24;23;22;1206
1;1;2;3;1;26;29;23;25;23;1206
1;1;3;4;4;14;19;15;22;16;1209
1;1;3;4;4;16;18;16;21;17;1209
2;1;2;1;3;22;29;24;25;23;1211
2;1;2;1;3;24;26;22;29;27;1211
2;1;3;5;2;17;11;14;12;20;1213
2;1;3;5;2;14;10;10;16;19;1213
2;1;3;5;2;17;16;17;16;14;1215
2;1;3;5;2;17;18;17;10;15;1215
1;1;3;5;5;24;24;22;23;22;1216
1;1;3;5;5;17;20;21;23;18;1216
2;1;4;4;7;16;25;20;20;18;1218
2;1;4;4;7;14;18;15;22;19;1218
2;1;3;4;3;13;20;16;20;19;1221
2;1;3;4;3;16;27;22;23;19;1221
2;1;1;1;1;26;22;24;20;27;1226
2;1;1;1;1;25;20;24;26;26;1226
1;1;4;3;2;28;25;27;30;29;1227
1;1;4;3;2;19;24;23;28;25;1227
2;2;5;5;4;28;29;28;23;25;1229
2;2;5;5;4;20;17;20;23;21;1229
2;1;4;6;6;23;20;21;19;28;1230
2;1;4;6;6;26;24;25;22;28;1230
2;1;3;2;2;23;18;18;25;19;1232
2;1;3;2;2;23;18;21;19;22;1232
2;1;3;4;2;20;17;23;21;24;1234
2;1;3;4;2;23;23;22;16;22;1234
2;1;3;3;2;21;12;19;12;17;1237
2;1;3;3;2;16;19;15;21;17;1237
1;1;3;1;1;13;17;17;12;16;1240
1;1;3;1;1;14;26;16;20;16;1240
2;1;3;2;3;17;19;15;11;18;1241
2;1;3;2;3;16;20;16;11;18;1241
1;1;5;6;4;14;27;18;24;19;1242
1;1;5;6;4;13;23;15;12;19;1242
2;2;4;5;5;25;28;25;24;23;1245
2;2;4;5;5;22;19;24;16;25;1245
2;1;3;5;7;19;21;22;13;24;1247
2;1;3;5;7;17;28;28;19;27;1247
2;2;4;3;2;19;16;22;25;22;1250
2;2;4;3;2;23;16;17;14;20;1250
1;1;5;6;4;18;26;22;25;22;1252
1;1;5;6;4;21;24;23;27;22;1252
2;1;4;5;4;19;23;24;24;24;1253
2;1;4;5;4;17;19;21;17;21;1253
1;1;3;3;2;15;18;19;18;12;1254
1;1;3;3;2;16;22;21;18;13;1254
1;1;3;3;1;6;14;7;12;13;1256
1;1;3;3;1;14;18;17;13;17;1256
2;2;4;3;7;26;17;17;25;18;1258
2;2;4;3;7;20;22;15;14;18;1258
2;1;3;2;1;19;17;16;16;16;1260
2;1;3;2;1;16;18;17;17;18;1260
2;2;5;1;3;25;20;22;23;23;1261
2;2;5;1;3;21;20;16;17;21;1261
2;1;2;1;2;23;19;13;17;18;1262
2;1;2;1;2;22;17;15;20;18;1262
2;1;1;1;2;23;13;22;26;23;1266
2;1;1;1;2;24;23;19;23;22;1266
1;1;4;2;2;19;27;19;26;20;1267
1;1;4;2;2;17;26;23;25;21;1267
1;2;4;6;7;26;30;22;23;21;1268
1;2;4;6;7;25;31;26;27;23;1268
2;1;3;4;2;21;18;20;21;18;1272
2;1;3;4;2;19;20;16;19;14;1272
1;1;3;4;3;16;28;21;25;15;1274
1;1;3;4;3;19;31;26;27;21;1274
2;2;1;4;2;22;24;24;21;22;1275
2;2;1;4;2;24;32;27;31;24;1275
2;1;3;3;1;30;30;22;23;23;1276
2;1;3;3;1;28;27;17;17;23;1276
2;1;4;1;4;8;17;17;18;15;1278
2;1;4;1;4;18;16;15;21;15;1278
2;1;3;4;1;20;14;16;18;14;1279
2;1;3;4;1;19;16;20;23;22;1279
1;1;3;2;5;21;31;26;28;23;1280
1;1;3;2;5;23;30;29;25;23;1280
2;2;5;6;7;29;25;29;29;30;1281
2;2;5;6;7;28;28;29;29;30;1281
2;2;5;5;6;19;19;23;20;18;1287
2;2;5;5;6;22;22;24;16;27;1287
2;1;3;3;2;11;7;15;7;15;1288
2;1;3;3;2;16;12;18;8;18;1288
2;1;3;2;2;17;18;16;12;15;1290
2;1;3;2;2;16;19;14;15;16;1290
1;1;4;3;2;11;25;12;16;14;1293
1;1;4;3;2;15;22;12;20;14;1293
2;1;3;4;3;22;20;11;21;18;1296
2;1;3;4;3;25;25;20;21;21;1296
2;2;4;5;5;24;24;19;23;22;1300
2;2;4;5;5;21;22;20;17;22;1300
2;1;1;1;2;15;17;18;16;21;1301
2;1;1;1;2;17;21;20;18;21;1301
1;2;3;4;2;15;18;15;18;15;1304
1;2;3;4;2;13;16;11;13;12;1304
1;1;4;6;5;24;26;21;24;22;1305
1;1;4;6;5;24;24;21;20;21;1305
1;2;4;1;1;17;16;15;22;15;1306
1;2;4;1;1;13;19;16;25;19;1306
2;1;3;3;2;17;13;20;10;17;1307
2;1;3;3;2;26;20;17;20;17;1307
1;2;5;6;4;17;22;17;26;20;1308
1;2;5;6;4;18;21;21;17;20;1308
2;1;3;2;2;16;7;15;21;17;1310
2;1;3;2;2;17;20;18;18;16;1310
2;1;6;5;2;15;14;14;7;17;1316
2;1;6;5;2;13;14;11;16;18;1316
1;1;3;3;4;26;23;25;24;27;1323
1;1;3;3;4;24;27;24;27;24;1323
1;1;5;6;2;17;25;18;25;18;1325
1;1;5;6;2;23;25;19;23;21;1325
1;2;5;5;4;22;22;15;23;19;1327
1;2;5;5;4;21;20;22;23;21;1327
1;1;3;3;2;23;25;18;20;18;1329
1;1;3;3;2;18;26;21;25;20;1329
1;1;4;6;4;21;22;25;26;25;1330
1;1;4;6;4;22;27;26;26;25;1330
1;1;5;6;7;19;27;27;26;23;1331
1;1;5;6;7;21;28;29;29;24;1331
1;2;6;6;6;9;18;17;10;17;1332
1;2;6;6;6;21;32;26;28;24;1332
1;1;3;3;4;21;28;19;23;28;1333
1;1;3;3;4;23;31;24;26;27;1333
2;2;3;3;2;21;18;15;18;14;1334
2;2;3;3;2;18;20;18;16;18;1334
2;1;2;2;2;17;14;18;16;18;1336
2;1;2;2;2;18;14;20;15;18;1336
2;1;4;5;3;17;18;17;14;16;1337
2;1;4;5;3;15;20;17;24;15;1337
2;1;3;4;3;18;24;14;16;21;1338
2;1;3;4;3;20;25;17;15;20;1338
1;2;2;2;2;22;22;14;12;18;1339
1;2;2;2;2;22;20;19;10;18;1339
1;2;5;5;5;19;25;22;23;20;1341
1;2;5;5;5;22;25;30;25;24;1341
2;2;5;3;2;19;14;17;16;17;1345
2;2;5;3;2;15;20;14;19;16;1345
2;1;5;5;4;20;19;14;13;20;1351
2;1;5;5;4;21;21;22;13;22;1351
2;2;5;6;4;30;28;28;28;30;1352
2;2;5;6;4;29;29;27;29;30;1352
1;1;5;6;5;24;32;27;30;32;1353
1;1;5;6;5;26;30;30;30;32;1353
1;2;2;2;4;7;13;9;17;14;1354
1;2;2;2;4;13;20;17;19;15;1354
1;1;3;3;3;8;13;14;14;4;1357
1;1;3;3;3;12;18;13;16;12;1357
1;2;4;6;4;24;28;28;22;22;1359
1;2;4;6;4;19;31;31;27;26;1359
2;2;3;3;7;15;13;13;9;17;1360
2;2;3;3;7;17;17;18;16;20;1360
1;2;5;4;4;20;26;23;26;28;1361
1;2;5;4;4;27;32;32;29;30;1361
2;1;3;4;5;22;24;28;23;30;1365
2;1;3;4;5;24;27;26;23;29;1365
1;1;4;3;2;14;23;15;11;12;1366
1;1;4;3;2;13;22;18;12;14;1366
1;1;3;3;2;22;24;16;11;16;1367
1;1;3;3;2;18;24;20;26;18;1367
2;2;3;4;2;18;11;18;11;17;1369
2;2;3;4;2;20;23;24;16;22;1369
1;2;3;3;2;25;24;24;23;27;1370
1;2;3;3;2;26;25;29;26;28;1370
2;1;2;4;2;20;13;18;16;18;1371
2;1;2;4;2;23;15;23;15;19;1371
1;1;5;6;5;20;21;15;22;21;1372
1;1;5;6;5;20;20;18;24;18;1372
1;1;6;5;5;23;27;25;28;26;1374
1;1;6;5;5;21;32;28;28;23;1374
2;1;3;4;2;18;20;20;15;21;1375
2;1;3;4;2;20;20;21;15;21;1375
2;1;3;5;4;21;20;21;16;17;1378
2;1;3;5;4;19;17;20;23;18;1378
2;1;3;4;4;24;24;29;23;27;1379
2;1;3;4;4;29;30;28;28;29;1379
1;2;6;6;7;20;28;26;28;24;1383
1;2;6;6;7;21;21;14;15;14;1383
2;1;2;2;2;19;13;14;12;12;1384
2;1;2;2;2;19;14;17;12;13;1384
2;1;2;3;2;15;11;16;20;19;1386
2;1;2;3;2;20;21;20;11;20;1386
2;2;3;5;3;20;22;20;17;25;1387
2;2;3;5;3;21;26;19;16;23;1387
2;2;4;4;2;27;20;18;24;21;1388
2;2;4;4;2;21;14;18;19;20;1388
2;1;2;2;2;19;11;18;14;17;1390
2;1;2;2;2;21;15;18;23;17;1390
2;2;3;2;5;17;22;15;12;18;1392
2;2;3;2;5;19;17;20;16;16;1392
1;2;2;1;2;23;26;23;26;27;1393
1;2;2;1;2;25;12;22;25;26;1393
1;1;3;3;2;13;32;21;25;18;1395
1;1;3;3;2;10;31;24;26;20;1395
2;1;2;3;3;20;13;16;17;16;1396
2;1;2;3;3;19;19;16;20;17;1396
2;2;3;3;2;27;25;23;24;22;1397
2;2;3;3;2;21;23;20;19;21;1397
1;1;2;2;3;11;12;14;16;14;1398
1;1;2;2;3;12;10;15;16;15;1398
2;2;4;6;3;16;14;23;19;20;1399
2;2;4;6;3;20;16;23;25;27;1399
2;1;5;3;3;23;17;20;24;19;1402
2;1;5;3;3;22;17;24;21;22;1402
1;1;3;4;3;9;21;16;11;18;1405
1;1;3;4;3;15;20;17;12;17;1405
2;1;3;4;2;13;11;17;13;19;1408
2;1;3;4;2;17;11;18;10;19;1408
1;2;4;6;5;17;20;19;16;24;1411
1;2;4;6;5;16;24;19;23;24;1411
2;1;3;3;2;17;17;16;22;24;1414
2;1;3;3;2;22;17;21;14;27;1414
1;1;4;6;6;20;24;28;27;29;1417
1;1;4;6;6;20;32;30;30;30;1417
1;1;4;4;4;24;25;22;25;22;1418
1;1;4;4;4;19;28;23;26;22;1418
2;1;3;3;2;19;21;19;15;21;1421
2;1;3;3;2;19;18;17;15;22;1421
2;2;5;4;4;27;19;31;28;29;1424
2;2;5;4;4;25;20;27;27;28;1424
2;1;2;1;2;18;14;18;18;18;1426
2;1;2;1;2;17;13;18;19;16;1426
2;2;6;5;4;16;19;19;20;23;1429
2;2;6;5;4;12;17;18;16;23;1429
2;1;1;3;2;23;14;22;25;18;1430
2;1;1;3;2;26;12;23;20;18;1430
1;1;1;2;2;12;21;16;18;16;1431
1;1;1;2;2;19;20;19;18;20;1431
2;1;3;3;2;15;14;10;12;12;1432
2;1;3;3;2;17;19;17;21;14;1432
1;2;1;3;1;22;14;19;20;14;1433
1;2;1;3;1;27;22;24;28;25;1433
1;1;2;1;1;18;20;17;20;15;1434
1;1;2;1;1;17;16;18;12;15;1434
1;2;3;4;4;24;30;27;29;28;1437
1;2;3;4;4;20;20;21;24;23;1437
2;1;4;6;7;19;23;24;23;21;1439
2;1;4;6;7;22;29;27;23;25;1439
2;2;1;1;1;17;11;17;13;13;1440
2;2;1;1;1;17;10;19;10;14;1440
1;1;3;5;4;24;30;21;23;22;1442
1;1;3;5;4;20;22;20;23;20;1442
1;1;4;5;4;5;12;4;3;11;1445
1;1;4;5;4;6;13;3;6;15;1445
2;1;5;4;4;21;19;20;25;18;1446
2;1;5;4;4;16;11;16;12;14;1446
2;1;3;2;2;14;18;15;17;19;1447
2;1;3;2;2;18;14;16;14;14;1447
1;1;4;3;4;27;25;27;24;28;1453
1;1;4;3;4;26;22;25;27;28;1453
2;1;4;5;4;20;21;22;17;19;1455
2;1;4;5;4;24;23;20;11;18;1455
1;1;4;5;5;29;34;25;28;30;1456
1;1;4;5;5;24;35;23;30;28;1456
2;2;3;3;4;23;27;28;26;27;1457
2;2;3;3;4;20;21;25;24;22;1457
1;1;3;3;2;11;13;15;13;16;1459
1;1;3;3;2;19;14;19;16;17;1459
1;1;3;3;4;15;25;23;26;22;1460
1;1;3;3;4;18;22;27;21;20;1460
1;1;1;1;1;22;25;25;23;23;1461
1;1;1;1;1;21;27;25;22;23;1461
2;1;5;5;3;24;30;23;21;23;1465
2;1;5;5;3;22;28;20;20;20;1465
2;1;3;4;3;27;26;25;26;28;1466
2;1;3;4;3;24;26;25;25;24;1466
2;2;3;4;2;16;20;9;12;16;1468
2;2;3;4;2;22;20;21;22;21;1468
2;1;1;1;1;13;10;13;12;16;1470
2;1;1;1;1;13;12;8;7;15;1470
1;1;3;5;3;22;29;23;23;21;1473
1;1;3;5;3;26;30;25;25;24;1473
1;2;4;2;2;24;24;27;28;18;1477
1;2;4;2;2;22;22;24;24;20;1477
2;1;2;4;3;15;17;18;19;23;1478
2;1;2;4;3;17;18;12;14;23;1478
2;2;2;3;1;16;13;17;13;18;1481
2;2;2;3;1;20;16;17;15;23;1481
2;1;5;3;5;22;23;20;22;23;1484
2;1;5;3;5;26;24;23;23;26;1484
1;1;4;4;1;21;30;28;25;27;1485
1;1;4;4;1;21;29;24;25;23;1485
2;2;3;4;2;24;14;20;18;20;1486
2;2;3;4;2;26;19;20;18;21;1486
1;1;3;3;3;22;30;25;27;23;1491
1;1;3;3;3;24;25;26;29;23;1491
1;2;5;6;3;15;25;16;14;23;1493
1;2;5;6;3;9;8;13;8;14;1493
1;1;3;1;1;27;29;28;32;27;1494
1;1;3;1;1;26;28;29;31;32;1494
1;2;4;3;2;24;20;22;18;21;1495
1;2;4;3;2;24;28;18;24;20;1495
2;2;3;4;5;22;19;22;18;20;1496
2;2;3;4;5;20;21;15;21;20;1496
1;2;3;5;4;23;33;25;23;24;1497
1;2;3;5;4;14;23;23;24;22;1497
2;2;3;6;3;9;13;12;6;13;1499
2;2;3;6;3;12;14;13;11;15;1499
1;2;1;4;2;23;29;24;19;23;1500
1;2;1;4;2;17;24;20;21;22;1500
1;2;1;1;1;15;21;22;19;21;1501
1;2;1;1;1;20;22;25;25;24;1501
1;1;3;4;4;16;22;26;23;25;1503
1;1;3;4;4;18;23;24;21;27;1503
2;1;4;4;3;18;12;20;15;19;1504
2;1;4;4;3;17;7;18;11;21;1504
2;2;3;4;2;23;14;24;20;25;1505
2;2;3;4;2;20;25;18;25;21;1505
